Step Time Temp Press Volume PotEng KinEng TotEng Enthalpy
22000 21.999 304.19665096202 19393.5751206197 47241.633375 -3.50146568723138 0.0393106730860621 -13848.6200565813 -13276.7828303588
23000 22.999 303.936079661359 19378.7268795884 47241.633375 -3.5014322820659 0.0392770000223268 -13848.6211281743 -13277.2217158625
24000 23.999 305.593773988091 19297.6368302486 47241.633375 -3.50164638558649 0.0394912202629137 -13848.6206612943 -13279.6122629446
25000 24.999 300.274328665313 19541.0367770203 47241.633375 -3.50095884560696 0.0388037998872403 -13848.6201828789 -13272.4349154084
26000 25.999 302.177691614634 19495.800588893 47241.633375 -3.50120466485685 0.0390497673508144 -13848.6195900241 -13273.768152762
27000 26.999 303.821976459085 19379.66169533 47241.633375 -3.50141710338789 0.039262254713105 -13848.6193946991 -13277.1924184938
28000 27.999 301.374115967939 19439.6635023832 47241.633375 -3.50110076115032 0.0389459230137803 -13848.6193525462 -13275.4231684098
29000 28.999 301.005964954316 19480.5692695708 47241.633375 -3.50105304562309 0.0388983476571909 -13848.6187918636 -13274.2164639245
30000 29.999 301.553235182026 19372.8357839976 47241.633375 -3.50112375718051 0.0389690702011216 -13848.6187479176 -13277.3930399249
31000 30.999 300.805718632269 19545.199889164 47241.633375 -3.50102696104719 0.0388724702595345 -13848.6179631506 -13272.3099425268
32000 31.999 300.585956141275 19489.5170401337 47241.633375 -3.50099876629123 0.0388440708297159 -13848.618781846 -13273.9526207422
33000 32.999 300.598206274673 19523.0187261674 47241.633375 -3.50100035689031 0.0388456538878717 -13848.6188120098 -13272.9648231796
34000 33.999 297.746895880009 19640.0109684913 47241.633375 -3.5006320091043 0.0384771852330162 -13848.6192954851 -13269.5156838328
35000 34.999 298.363983303382 19650.6980939937 47241.633375 -3.50071207388845 0.0385569301016366 -13848.6205751472 -13269.2018438656
36000 35.999 300.080106383303 19532.4561429654 47241.633375 -3.50093419902035 0.0387787009632055 -13848.6219922286 -13272.6897325685
37000 36.999 302.708529358673 19418.8215292441 47241.633375 -3.50127382638975 0.0391183663605394 -13848.6218401168 -13276.0402005415
38000 37.999 302.801026359395 19416.8834013848 47241.633375 -3.50128590211849 0.0391303195472209 -13848.6223302851 -13276.0978381749
39000 38.999 301.935628561114 19453.0026623666 47241.633375 -3.5011745861427 0.0390184860676936 -13848.6244003 -13275.0348988822
